symbol,name_ar,name_en,sector,business_class,vision2030_theme,event_exposure_overall,primary_event_driver,event_confidence,seasonal_hajj_exposure,seasonal_ramadan_exposure,seasonal_primary_drivers,index_membership_summary,source_type,source_freshness_status,review_priority,classification_risk
3007,شركة زهرة الواحة للتجارة,Zahrat Al Waha for Trading Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3008,شركة الكثيري القابضة,Al Kathiri Holding Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3010,شركة الأسمنت العربية,Arabian Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
3020,شركة أسمنت اليمامة,Yamama Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,medium,none,none,none,TASI:needs_verification,official,current,none,low
3030,شركة الأسمنت السعودية,Saudi Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
3040,شركة أسمنت القصيم,Qassim Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3050,شركة أسمنت المنطقة الجنوبية,Southern Province Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
3060,شركة أسمنت ينبع,Yanbu Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3080,شركة أسمنت المنطقة الشرقية,Eastern Province Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3090,شركة أسمنت تبوك,Tabuk Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
